conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
2033744053473259678,Tue Mar 17 03:15:42 +0000 2026,0,I actually thought Blue Moon was a miracle of bad casting,2033744053473259678,,,en,,0,0,0,https://x.com/undefined/status/2033744053473259678,21245680,
2033466932519743984,Tue Mar 17 03:15:36 +0000 2026,0,@elnuski @DesireeAmerica4 g what did you expect from unknown political blue check verified accounts like this?,2033744031096713269,,elnuski,en,,0,0,0,https://x.com/undefined/status/2033744031096713269,1941907916757282816,
2033744025870864609,Tue Mar 17 03:15:35 +0000 2026,0,Mint Green / ocean teal /sky blue,2033744025870864609,,,en,,0,0,0,https://x.com/undefined/status/2033744025870864609,2652851390,
2033744027728941232,Tue Mar 17 03:15:36 +0000 2026,0,Cinema https://t.co/0Etkgh7YJe,2033744027728941232,https://pbs.twimg.com/media/HDlPak9bkAAdL-X.jpg,,et,,0,0,0,https://x.com/undefined/status/2033744027728941232,133944301,
2033628147556458521,Tue Mar 17 03:15:33 +0000 2026,0,@FinancialPhys And yet they will still back the blue.,2033744018941645157,,FinancialPhys,en,,0,0,0,https://x.com/undefined/status/2033744018941645157,261710210,
2033432787232141602,Tue Mar 17 03:15:32 +0000 2026,0,@john_hours @hylicac @snotsludge I think you mean . Rich kid? the smart one wears light blue I think,2033744011933204657,,john_hours,en,,0,0,0,https://x.com/undefined/status/2033744011933204657,1911049117125758976,
2033744011756761368,Tue Mar 17 03:15:32 +0000 2026,37,🇻🇪 ALL THE EMOTIONS ️ Andrés Giménez is heading to the Finals! #WorldBaseballClassic https://t.co/khSPrGycu3,2033744011756761368,https://pbs.twimg.com/media/HDlPZJJX0AACzzV.jpg,,en,,1,0,10,https://x.com/undefined/status/2033744011756761368,41468683,
2033586676904132664,Tue Mar 17 03:15:23 +0000 2026,0,@Crypt0Senseii There s nothing quite about the evil intent of legacy banks their lobbyists politicians earning extra inc the Blue Indian wanting to keep citizens shackled to enslavement and riddled with debt. Stand up stand tall and demand better or never be Free &amp; too poor to be Brave,2033743976126451885,,Crypt0Senseii,en,,0,0,0,https://x.com/undefined/status/2033743976126451885,1962396335229030400,
2033743970803847392,Tue Mar 17 03:15:22 +0000 2026,0,the color blue is a forgotten password to all things good,2033743970803847392,,,en,,0,0,0,https://x.com/undefined/status/2033743970803847392,2020426314264817664,
2033722603127316907,Tue Mar 17 03:15:21 +0000 2026,0,@SSN_USF As a USF fan bigger blue blood ... Louisville or Kentucky?,2033743968958099579,,SSN_USF,en,,0,0,0,https://x.com/undefined/status/2033743968958099579,47441974,
2033743967179915739,Tue Mar 17 03:15:21 +0000 2026,1,tfftt but blue #chonnyjash #fanart https://t.co/rKhJBeQbn3,2033743967179915739,https://pbs.twimg.com/media/HDlOnQdaYAA88nG.jpg,,en,,0,0,1,https://x.com/undefined/status/2033743967179915739,1454364278362759168,
2033743962805268574,Tue Mar 17 03:15:20 +0000 2026,4,毒に侵されてる https://t.co/Z5BYFEX4Q4,2033743962805268574,,,ja,,0,0,0,https://x.com/undefined/status/2033743962805268574,1124615110520000512,
2033743962377490709,Tue Mar 17 03:15:20 +0000 2026,0,【#ワンピカード 】 おつラボ！ ただいま以下のオリパを発売中 REDオリパ（1000円）　残り140口 BLUEオリパ（1000円）　残り203口 この機会にぜひお買い求めください https://t.co/umQBHcnaVR,2033743962377490709,https://pbs.twimg.com/media/HDlOtUybEAAitUr.jpg,,ja,,0,0,0,https://x.com/undefined/status/2033743962377490709,973394376918364160,
2033602458698514514,Tue Mar 17 03:15:17 +0000 2026,0,@eggsovereze the banter itself is fine but i just think they re engagement farming arsenal fans atp because they ve pumped out so many tweets about our fixtures running club funds off of them blue check residuals,2033743948934422757,,eggsovereze,en,,0,0,0,https://x.com/undefined/status/2033743948934422757,4866444191,
2033724597971865992,Tue Mar 17 03:15:15 +0000 2026,0,@PoundHoundsResQ @sarahpolo10 @starseed3210 @TrumpSimp4Putin @brunosmom0408 @Jennife96683868 @jhargis1 @mbh78063 Pledge honored. This news is awesome. Blue Bunny is pure love. ,2033743943767072815,,PoundHoundsResQ,en,,0,0,0,https://x.com/undefined/status/2033743943767072815,1432563541320552452,
2033743939841273970,Tue Mar 17 03:15:15 +0000 2026,0,Democrats and their media told you this is didn t happen. Who did they open the borders to? You see them taking over blue states and democrats fund them thru hardworking Americans,2033743939841273970,,,en,,0,0,0,https://x.com/undefined/status/2033743939841273970,796139197094625280,
2033595245925998794,Tue Mar 17 03:15:12 +0000 2026,1,@TheShadow_Woker She's gonna be a consultant possible admiral/politician and loving wife to Liars and mother to some beautiful blue babies,2033743930852868516,,TheShadow_Woker,en,,0,0,0,https://x.com/undefined/status/2033743930852868516,1497860724936302595,
